"Produto","ID","Data","Quantidade","Categoria","Preco"
"Smartphone",60,2023-04-04,2,"Eletrônicos",2000
"Smartphone",23,2023-09-11,1,"Eletrônicos",2000
"Smartphone",58,2023-01-16,3,"Eletrônicos",2000
"Smartphone",11,2023-03-31,29,"Eletrônicos",2000
"Smartphone",64,2023-12-08,13,"Eletrônicos",2000
"Smartphone",39,2023-08-12,17,"Eletrônicos",2000
"Smartphone",75,2023-11-04,4,"Eletrônicos",2000
"Smartphone",93,2023-02-20,4,"Eletrônicos",2000
"Smartphone",94,2023-03-15,2,"Eletrônicos",2000
"Smartphone",82,2023-05-01,16,"Eletrônicos",2000
"Smartphone",96,2023-12-28,26,"Eletrônicos",2000
"Smartphone",84,2023-06-07,15,"Eletrônicos",2000
"Smartphone",46,2023-03-04,7,"Eletrônicos",2000
"Smartphone",99,2023-11-26,28,"Eletrônicos",2000
"Smartphone",9,2023-01-14,18,"Eletrônicos",2000
NA,1,2023-06-28,21,"Acessórios",150
"Teclado",2,2023-01-14,7,"Acessórios",150
"Teclado",16,2023-12-14,3,"Acessórios",150
"Teclado",17,2023-05-17,25,"Acessórios",150
"Teclado",35,2023-01-23,7,"Acessórios",150
"Teclado",32,2023-04-19,18,"Acessórios",150
"Teclado",85,2023-03-05,23,"Acessórios",150
"Teclado",29,2023-11-28,25,"Acessórios",150
"Teclado",26,2023-03-22,25,"Acessórios",150
"Teclado",36,2023-11-05,29,"Acessórios",150
"Teclado",37,2023-05-15,9,"Acessórios",150
"Teclado",50,2023-12-13,17,"Acessórios",150
"Teclado",81,2023-06-08,3,"Acessórios",150
"Teclado",27,2023-02-12,8,"Acessórios",150
"Teclado",15,2023-04-01,20,"Acessórios",150
"Teclado",41,2023-08-05,13,"Acessórios",150
"Teclado",52,2023-10-21,2,"Acessórios",150
"Teclado",66,2023-06-08,29,"Acessórios",150
"Fone de Ouvido",18,2023-12-21,14,"Acessórios",200
"Teclado",41,2023-08-05,13,"Acessórios",150
"Fone de Ouvido",53,2023-10-04,17,"Acessórios",200
